Full_Category_Name
BACHELOR OF ARTS
BACHELOR OF ARCHITECTURAL STUDIES/BACHELOR OF ARCHITECTURE
BACHELOR OF QUANTITY SURVEYING
BACHELOR OF ARTS (DESIGN)
BACHELOR OF ARTS (ANTHROPOLOGY)
BACHELOR OF ACTUARIAL SCIENCE
BACHELOR OF SCIENCE (COMPUTER SCIENCE)
BACHELOR OF ARTS (CRIMINOLOGY & SECURITY STUDIES)
"BACHELOR OF EDUCATION (SCIENCE, WITH IT)"
BACHELOR OF SCIENCE (WOOD SCIENCE AND INDUSTRIAL PROCESSES)
BACHELOR OF SCIENCE (WILDLIFE ENTERPRISE MANAGEMENT)
BACHELOR OF SCIENCE (WILDLIFE MANAGEMENT) [image]
BACHELOR OF ARTS (SOCIAL WORK)
BACHELOR OF SOCIAL WORK
BACHELOR OF ECONOMICS
BACHELOR OF SCIENCE (RECORDS MANAGEMENT AND INFORMATION TECHNOLOGY)
BACHELOR OF BUSINESS AND OFFICE MANAGEMENT
"BACHELOR OF EDUCATION (SPECIAL NEEDS EDUCATION, WITH IT)"
BACHELOR OF EDUCATION (ARTS) WITH SPECIAL NEEDS EDUCATION
BACHELOR OF SCIENCE (TOURISM MANAGEMENT)
BACHELOR OF INFORMATION COMMUNICATION TECHNOLOGY
BACHELOR OF ARTS (PUBLIC ADMINISTRATION)
BACHELOR OF MUSIC
"BACHELOR OF ARTS (MUSIC, WITH IT)"
BACHELOR OF EDUCATION (ARTS) MUSIC
BACHELOR OF MUSIC IN MUSIC EDUCATION
BACHELOR OF BUSINESS ADMINISTRATION AND MANAGEMENT
BACHELOR OF EDUCATION (ARTS) GERMAN
BACHELOR OF ARTS (COMMUNITY DEVELOPMENT)
BACHELOR OF SCIENCE IN BIOMEDICAL SCIENCE
BACHELOR OF SCIENCE (AGROFORESTRY & RURAL DEVELOPMENT)
BACHELOR OF CONSTRUCTION MANAGEMENT
BACHELOR OF BROADCAST JOURNALISM
"BACHELOR OF ARTS (DRAMA AND THEATRE STUDIES, WITH IT)"
BACHELOR OF EDUCATION (EARLY CHILDHOOD DEVELOPMENT)
BACHELOR OF JOURNALISM & MASS COMMUNICATION
BACHELOR OF COMMUNICATION & JOURNALISM
BACHELOR OF JOURNALISM
BACHELOR OF SCIENCE (MANAGEMENT OF AGRO-ECOSYSTEM AND ENVIRONMENT)
"BACHELOR OF SCIENCE (HORTICULTURE, WITH IT)"
BACHELOR OF HUMAN RESOURCE MANAGEMENT
